title,address,city,state,postal_code,price,facts and features,real estate provider,url
House For Sale,652 E Aloha Rd,SALT LAKE CITY,UT,84103,"$949,000 ","5 bds , 3 ba , 4,600 sqft",Intermountain Properties,https://www.zillow.com/homedetails/652-E-Aloha-Rd-Salt-Lake-City-UT-84103/12717137_zpid/
Lot/Land For Sale,1514 E Federal Pointe Dr,Salt Lake City,UT,84103,"$1,100,000 ",0.71 ac lot,Watts Group,https://www.zillow.com/homedetails/1514-E-Federal-Pointe-Dr-Salt-Lake-City-UT-84103/2113298310_zpid/
House For Sale,566 E 6TH Ave,SALT LAKE CITY,UT,84103,"$385,000 ","2 bds , 2 ba , 1,482 sqft","The Group Real Estate, LLC",https://www.zillow.com/homedetails/566-E-6TH-Ave-Salt-Lake-City-UT-84103/12719632_zpid/
House For Sale,763 E 4TH Ave,SALT LAKE CITY,UT,84103,"$449,500 ","2 bds , 2 ba , 1,913 sqft",Plumb & Company,https://www.zillow.com/homedetails/763-E-4TH-Ave-Salt-Lake-City-UT-84103/12720776_zpid/
House For Sale,634 I St,SALT LAKE CITY,UT,84103,"$625,000 ","3 bds , 2 ba , 2,438 sqft",Coldwell Banker Residential Brokerage - Salt Lake - Sugar House,https://www.zillow.com/homedetails/634-I-St-Salt-Lake-City-UT-84103/12719984_zpid/
House For Sale,1194 E Chandler Dr,SALT LAKE CITY,UT,84103,"$1,750,000 ","5 bds , 6 ba , 6,108 sqft","The Group Real Estate, LLC",https://www.zillow.com/homedetails/1194-E-Chandler-Dr-Salt-Lake-City-UT-84103/12720447_zpid/
Condo For Sale,650 N 300 W APT 201,SALT LAKE CITY,UT,84103,"$198,000 ","2 bds , 1 ba , 747 sqft",Koch and Company Real Estate,https://www.zillow.com/homedetails/650-N-300-W-APT-201-Salt-Lake-City-UT-84103/35978688_zpid/
Condo For Sale,705 NE Capitol Blvd E,Salt Lake City,UT,84103,"$759,000 ","2 bds , 4 ba , 2,491 sqft",,https://www.zillow.com/homedetails/705-NE-Capitol-Blvd-E-Salt-Lake-City-UT-84103/2090519548_zpid/
House For Sale,1355 E Perry N Ave,Salt Lake City,UT,84103,"$965,000 ","5 bds , 4 ba , 4,030 sqft","The Group Real Estate, LLC",https://www.zillow.com/homedetails/1355-E-Perry-N-Ave-Salt-Lake-City-UT-84103/2092612246_zpid/
Condo For Sale,67 W Apricot Ave,SALT LAKE CITY,UT,84103,"$375,000 ","3 bds , 2 ba , 2,178 sqft",,https://www.zillow.com/homedetails/67-W-Apricot-Ave-Salt-Lake-City-UT-84103/12716386_zpid/
House For Sale,1533 E Federal Heights Dr,SALT LAKE CITY,UT,84103,"$1,100,000 ","7 bds , 4 ba , 4,359 sqft",,https://www.zillow.com/homedetails/1533-E-Federal-Heights-Dr-Salt-Lake-City-UT-84103/12722011_zpid/
House For Sale,807 E 2nd Ave,Salt Lake City,UT,84103,"$439,900 ","3 bds , 2 ba , 1,832 sqft",Sid Davis & Associates,https://www.zillow.com/homedetails/807-E-2nd-Ave-Salt-Lake-City-UT-84103/12721104_zpid/
House For Sale,1103 E 2ND Ave,SALT LAKE CITY,UT,84103,"$695,000 ","3 bds , 3 ba , 3,320 sqft",Chapman Richards & Associates,https://www.zillow.com/homedetails/1103-E-2ND-Ave-Salt-Lake-City-UT-84103/12721541_zpid/
House For Sale,66 W Zane Ave,SALT LAKE CITY,UT,84103,"$450,000 ","3 bds , 2 ba , 1,932 sqft",Chapman Richards & Associates,https://www.zillow.com/homedetails/66-W-Zane-Ave-Salt-Lake-City-UT-84103/12716100_zpid/
House For Sale,315 W Reed N Ave # 10,Salt Lake City,UT,84103,"$400,000 ","2 bds , 3 ba , 1,682 sqft",Equity Real Estate - Results,https://www.zillow.com/homedetails/315-W-Reed-N-Ave-10-Salt-Lake-City-UT-84103/2090563940_zpid/
House For Sale,953 E 3RD Ave,SALT LAKE CITY,UT,84103,"$749,000 ","4 bds , 2 ba , 3,175 sqft",Equity Real Estate - Results,https://www.zillow.com/homedetails/953-E-3RD-Ave-Salt-Lake-City-UT-84103/12721285_zpid/
Condo For Sale,123 E 2nd Ave APT 710,Salt Lake City,UT,84103,"$350,000 ","2 bds , 2 ba , 1,062 sqft",RANLife Real Estate,https://www.zillow.com/homedetails/123-E-2nd-Ave-APT-710-Salt-Lake-City-UT-84103/12719075_zpid/
Condo For Sale,830 E 6TH Ave APT 2,SALT LAKE CITY,UT,84103,"$225,000 ","1 bd , 1 ba , 733 sqft",Coldwell Banker Residential Brokerage - Union Heights,https://www.zillow.com/homedetails/830-E-6TH-Ave-APT-2-Salt-Lake-City-UT-84103/89419598_zpid/
House For Sale,342 N Federal Heights E Cir,Salt Lake City,UT,84103,"$799,000 ","2 bds , 2 ba , 1,152 sqft",Select Group Realty LLC,https://www.zillow.com/homedetails/342-N-Federal-Heights-E-Cir-Salt-Lake-City-UT-84103/2090609958_zpid/
House For Sale,204 E Ensign Vista Dr,SALT LAKE CITY,UT,84103,"$1,360,000 ","5 bds , 6 ba , 6,838 sqft",Summit Sotheby's International Realty,https://www.zillow.com/homedetails/204-E-Ensign-Vista-Dr-Salt-Lake-City-UT-84103/12717446_zpid/
House For Sale,120 N L E St,Salt Lake City,UT,84103,"$589,900 ","4 bds , 3 ba , 2,610 sqft",Law Real Estate,https://www.zillow.com/homedetails/120-N-L-E-St-Salt-Lake-City-UT-84103/2094001044_zpid/
House For Sale,1622 E Connecticut Dr,SALT LAKE CITY,UT,84103,"$1,950,000 ","4 bds , 5 ba , 4,648 sqft","The Group Real Estate, LLC",https://www.zillow.com/homedetails/1622-E-Connecticut-Dr-Salt-Lake-City-UT-84103/12721904_zpid/
Apartment For Sale,136 W 600 N,Salt Lake City,UT,84103,"$1,040,000 ","7 bds , 4 ba , 3,014 sqft",,https://www.zillow.com/homedetails/136-W-600-N-Salt-Lake-City-UT-84103/2104717994_zpid/
House For Sale,1442 E Kristianna N Cir,Salt Lake City,UT,84103,"$1,097,997 ","6 bds , 3 ba , 4,926 sqft",Chapman Richards & Associates,https://www.zillow.com/homedetails/1442-E-Kristianna-N-Cir-Salt-Lake-City-UT-84103/2090630921_zpid/
Apartment For Sale,"201 N ""I"" Street E Ave",Salt Lake City,UT,84103,"$645,000 ","4 bds , 5 ba , 4,270 sqft",Old Home Realty,"https://www.zillow.com/homedetails/201-N-""I""-Street-E-Ave-Salt-Lake-City-UT-84103/2090777431_zpid/"
Condo For Sale,123 E 2nd Ave APT 409,Salt Lake City,UT,84103,"$399,000 ","2 bds , 2 ba , 1,446 sqft",Coldwell Banker Residential Brokerage - South Valley,https://www.zillow.com/homedetails/123-E-2nd-Ave-APT-409-Salt-Lake-City-UT-84103/12719029_zpid/
New Construction,245 N Vine W St # 606,Salt Lake City,UT,84103,"$389,900 ","2 bds , 2 ba , 1,124 sqft",Jordan Real Estate,https://www.zillow.com/homedetails/245-N-Vine-W-St-606-Salt-Lake-City-UT-84103/2090501854_zpid/
Lot/Land For Sale,333 N Federal Heights E Cir,Salt Lake City,UT,84103,"$699,000 ",0.75 ac lot,Select Group Realty LLC,https://www.zillow.com/homedetails/333-N-Federal-Heights-E-Cir-Salt-Lake-City-UT-84103/2090610425_zpid/
House For Sale,403 E Oak Forest Rd,SALT LAKE CITY,UT,84103,"$7,950,000 ","4 bds , 7 ba , 10,452 sqft",Coldwell Banker Residential Brokerage - Salt Lake - Sugar House,https://www.zillow.com/homedetails/403-E-Oak-Forest-Rd-Salt-Lake-City-UT-84103/12716969_zpid/
House For Sale,661 N Saddle Hill Rd,SALT LAKE CITY,UT,84103,"$5,850,000 ","5 bds , 9 ba , 14,879 sqft",Summit Sotheby's International Realty,https://www.zillow.com/homedetails/661-N-Saddle-Hill-Rd-Salt-Lake-City-UT-84103/12720433_zpid/
House For Sale,1141 N Oak Forest Rd,Salt Lake City,UT,84103,"$7,100,000 ","5 bds , 7 ba , 12,351 sqft",Coldwell Banker Residential Brokerage - Union Heights,https://www.zillow.com/homedetails/1141-N-Oak-Forest-Rd-Salt-Lake-City-UT-84103/2097511106_zpid/
