zpid,title,address,city,state,postal_code,price,facts and features,url,beds,baths,sqft,neighborhood,region,price_per_sqft,size_type
12722118,House For Sale,1456 E Penrose Dr,SALT LAKE CITY,UT,84103,1850000.0,"5 bds , 4 ba , 4,665 sqft",https://www.zillow.com/homedetails/1456-E-Penrose-Dr-Salt-Lake-City-UT-84103/12722118_zpid/,5.0,4.0,4665.0,Downtown SLC,Downtown-SLC,396.57020364415865,large
12717826,House For Sale,659 N De Soto St,SALT LAKE CITY,UT,84103,547500.0,"4 bds , 4 ba , 2,905 sqft",https://www.zillow.com/homedetails/659-N-De-Soto-St-Salt-Lake-City-UT-84103/12717826_zpid/,4.0,4.0,2905.0,Downtown SLC,Downtown-SLC,188.46815834767642,large
12722156,Lot/Land For Sale,1305 E 2nd Ave,SALT LAKE CITY,UT,84103,790000.0,"10,890 sqft lot",https://www.zillow.com/homedetails/1305-E-2nd-Ave-Salt-Lake-City-UT-84103/12722156_zpid/,,,,Downtown SLC,Downtown-SLC,,medium
2090436693,House For Sale,371 E Seventh N Ave,SALT LAKE CITY,UT,84103,900000.0,"5 bds , 5 ba , 4,272 sqft",https://www.zillow.com/homedetails/371-E-Seventh-N-Ave-Salt-Lake-City-UT-84103/2090436693_zpid/,5.0,5.0,4272.0,Downtown SLC,Downtown-SLC,210.67415730337078,large
12722164,House For Sale,1349 E 2nd Ave,SALT LAKE CITY,UT,84103,1575000.0,"3 bds , 4 ba , 5,009 sqft",https://www.zillow.com/homedetails/1349-E-2nd-Ave-Salt-Lake-City-UT-84103/12722164_zpid/,3.0,4.0,5009.0,Downtown SLC,Downtown-SLC,314.4340187662208,large
2090480019,House For Sale,423 N G E St,SALT LAKE CITY,UT,84103,1169000.0,"5 bds , 6 ba , 4,990 sqft",https://www.zillow.com/homedetails/423-N-G-E-St-Salt-Lake-City-UT-84103/2090480019_zpid/,5.0,6.0,4990.0,Downtown SLC,Downtown-SLC,234.2685370741483,large
12721081,For Sale by Owner,122 L St,SALT LAKE CITY,UT,84103,430000.0,"2 bds , 2 ba , 1,400 sqft",https://www.zillow.com/homedetails/122-L-St-Salt-Lake-City-UT-84103/12721081_zpid/,2.0,2.0,1400.0,Downtown SLC,Downtown-SLC,307.14285714285717,medium
12719182,House For Sale,142 E 3RD Ave,SALT LAKE CITY,UT,84103,729000.0,"4 bds , 2 ba , 3,946 sqft",https://www.zillow.com/homedetails/142-E-3RD-Ave-Salt-Lake-City-UT-84103/12719182_zpid/,4.0,2.0,3946.0,Downtown SLC,Downtown-SLC,184.74404460212872,large
12717137,House For Sale,652 E Aloha Rd,SALT LAKE CITY,UT,84103,949000.0,"5 bds , 3 ba , 4,600 sqft",https://www.zillow.com/homedetails/652-E-Aloha-Rd-Salt-Lake-City-UT-84103/12717137_zpid/,5.0,3.0,4600.0,Downtown SLC,Downtown-SLC,206.30434782608697,large
2113298310,Lot/Land For Sale,1514 E Federal Pointe Dr,SALT LAKE CITY,UT,84103,1100000.0,0.71 ac lot,https://www.zillow.com/homedetails/1514-E-Federal-Pointe-Dr-Salt-Lake-City-UT-84103/2113298310_zpid/,,,,Downtown SLC,Downtown-SLC,,medium
